,Event_ID,Start_INDX,Stop_INDX,t_peak,t_start,t_stop,t_rise,t_decay,Flux_peak,Equiv_Dur,S/N,CPLX_flg,MLTPK_flg,MLTPK_num,t_MLTPK,L_mltpk,MLTPK_INDX,quies,x,Flare_Duration
1,2,332.0,336.0,1683.8311823332729,1683.8284045189607,1683.8339601478178,0.0027778143121395,0.0027778145449702,0.0043590822179975,1.0394158549526924,0.8563145810289138,4.0,0.0,0.0,0.0,0.0,0.0,11337.21094,;,8.000105554237962
2,3,618.0,622.0,1684.2339653510235,1684.2325764443326,1684.2381320713266,0.0013889066908632,0.0041667203031466,0.0043958812189245,1.0213969115929984,0.6985036884700883,4.0,0.0,0.0,0.0,0.0,0.0,11377.51562,;,8.00010287137411
3,4,676.0,685.0,1684.315910847154,1684.3131330337735,1684.3256331939865,0.0027778133803622,0.0097223468324046,0.0113876989825392,4.056826548949237,1.7210595159744215,4.0,0.0,0.0,0.0,0.0,0.0,11337.41602,;,18.00023070671159
4,5,1619.0,1628.0,1685.6242606028322,1685.6228716968399,1685.6353718512332,0.0013889059923713,0.0111112484009936,0.0077672984336572,2.7327548766234604,1.3654321880735285,4.0,0.0,0.0,0.0,0.0,0.0,11342.76758,;,18.00022232644551
5,6,1655.0,1661.0,1685.674261220171,1685.6728723141787,1685.68120575013,0.0013889059923713,0.006944529959128,0.0062908839868317,1.8873550355924809,1.0656320812589029,4.0,0.0,0.0,0.0,0.0,0.0,11338.58984,;,12.000147769831528
6,7,1684.0,1691.0,1685.7159284006273,1685.7131505886423,1685.7228729305857,0.00277781198497,0.0069445299584459,0.0060728829257456,2.5394174146434185,1.2022270350641042,4.0,0.0,0.0,0.0,0.0,0.0,11347.69043,;,14.000172398518771
10,11,3126.0,3130.0,1687.7173414700178,1687.7159525647248,1687.7215081861311,0.0013889052929699,0.0041667161135592,0.0049059124426146,1.3230260067395023,0.877933851941658,4.0,0.0,0.0,0.0,0.0,0.0,11416.17383,;,8.000094825074484
15,16,4581.0,4588.0,1689.7854210426194,1689.7840321377917,1689.793754470888,0.0013889048277633,0.0083334282685428,0.0076040263036067,2.461789042036917,1.319218257551195,4.0,0.0,0.0,0.0,0.0,0.0,11343.05957,;,14.000159658680786
17,18,4731.0,4735.0,1689.993756746297,1689.9923678417013,1689.9979234603138,0.0013889045958422,0.0041667140167192,0.0118635243144348,2.4562899600180272,1.4453810500084456,4.0,0.0,0.0,0.0,0.0,0.0,11408.03125,;,8.00009080208838
21,22,6982.0,6989.0,1693.1618477497168,1693.1590699407593,1693.1687922719923,0.0027778089574895,0.0069445222757167,0.006982379464868,2.297973755082297,1.1897973382068086,4.0,0.0,0.0,0.0,0.0,0.0,11371.4834,;,14.000156975489517
