,"index of flare start in ""gj1243_master_slc.dat""","index of flare stop in ""gj1243_master_slc.dat""",t_start,t_stop,t_peak,t_rise,t_decay,flux peak,ED,Duration of rise,Duration of decay,Complex flag,# of people that identified flare event exists,# of people that analyzed this month,# of flare template components fit to event,Flare_Duration
1,275.0,310.0,539.6466675,539.6711426,539.6500244,0.0033569,0.0211182,0.0057328,2.60132,0.2913592,2.3099608,1.0,8.0,8.0,2.0,35.2441440000257
2,363.0,374.0,539.7072754,539.7147827,539.7092896,0.0020142,0.0054932,0.0018945,0.343823,0.1246587,0.2191643,1.0,8.0,8.0,1.0,10.810512000061863
3,427.0,437.0,539.7508545,539.7583618,539.7521973,0.0013428,0.0061646,0.003165,0.5962699,0.0566624,0.5396075,1.0,8.0,8.0,1.0,10.810512000061863
4,500.0,509.0,539.8012695,539.8081055,539.8046875,0.003418,0.003418,0.0018188,0.2936623,0.1128259,0.1808364,1.0,4.0,8.0,1.0,9.843840000030468
5,594.0,614.0,539.8659668,539.880249,539.8700562,0.0040894,0.0101929,0.0047952,0.978497,0.1878194,0.7906776,1.0,8.0,8.0,1.0,20.566368000036164
6,681.0,692.0,539.9265747,539.9347534,539.9279785,0.0014038,0.0067749,0.0040407,0.9515304,0.1476371,0.8038933,1.0,8.0,8.0,1.0,11.77732800004378
7,784.0,794.0,539.9974365,540.0042725,540.0001831,0.0027466,0.0040894,0.0009977,0.1478237,0.0848379,0.0629857,1.0,2.0,8.0,1.0,9.84383999986676
8,847.0,856.0,540.0403442,540.0464478,540.0430908,0.0027466,0.0033569,0.0013198,0.3875958,0.2263083,0.1612875,1.0,7.0,8.0,1.0,8.789183999942907
9,886.0,896.0,540.0668945,540.0737305,540.0689697,0.0020752,0.0047607,0.0018349,0.3348187,0.0754788,0.2593399,1.0,8.0,8.0,1.0,9.843840000030468
10,922.0,931.0,540.0914307,540.0975342,540.0927734,0.0013428,0.0047607,0.0041138,0.4907465,0.0716471,0.4190995,1.0,8.0,8.0,1.0,8.789039999992383
12,1024.0,1033.0,540.1622925,540.168396,540.1643066,0.0020142,0.0040894,0.0008299,0.0437957,0.0457984,-0.0020028,1.0,6.0,8.0,1.0,8.789039999992383
