#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-08-10T21:36:46 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ62f40c182a5db4	
#INFO	-out.max=unlimited	
#INFO	queryParameters=34	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/159/60&tab:{J/AJ/159/60/table1}&key:source=J/AJ/159/60/table1&HTTPPRM:&
#-source=J/AJ/159/60/table1
#-order=I
#-out=TIC
#-out=Outbst
#-out=Flare
#-out=tpeak
#-out=e_tpeak
#-out=E_tpeak
#-out=Amp
#-out=e_Amp
#-out=E_Amp
#-out=FWHMdt
#-out=e_FWHMdt
#-out=E_FWHMdt
#-out=Ebol
#-out=e_Ebol
#-out=E_Ebol
#-out=MCME
#-out=e_MCME
#-out=E_MCME
#-out=Tmag
#-out=Teff
#-out=Rad
#-out=logg
#-out=SpT
#-out=Prot-t
#-out=Prot-k
#-out=Prot
#-out=Chem
#-out=O3cons
#-out=O3perm
#

#RESOURCE=yCat_51590060
#Name: J/AJ/159/60
#Title: 8695 flares from 1228 stars in TESS sectors 1 & 2 (Gunther+, 2020)
#Table	J_AJ_159_60_table1:
#Name: J/AJ/159/60/table1
#Title: Catalog of all individual flares found in the Transiting Exoplanet Survey Satellite (TESS) sectors 1 and 2
#Column	TIC	(I9)	[2760232/471015484] TESS input catalog identifier	[ucd=meta.id;meta.main]
#Column	Outbst	(I2)	[1/58] Outburst number	[ucd=meta.id]
#Column	Flare	(I1)	[1/5] Flare number	[ucd=meta.id]
#Column	tpeak	(F14.6)	[2458325/2458382] Peak time, posterior median, flare, Barycentric Julian Date	[ucd=time.epoch;stat.median]
#Column	e_tpeak	(F9.6)	[2e-6/0.046] Lower uncertainty on tpeak	[ucd=stat.error]
#Column	E_tpeak	(F9.6)	[2e-6/0.065] Upper uncertainty on tpeak	[ucd=stat.error;stat.max]
#Column	Amp	(F8.5)	[0.00065/16] Flare amplitude, relative	[ucd=src.var.amplitude;arith.ratio]
#Column	e_Amp	(F8.5)	[7e-5/3.4] Lower uncertainty on Amp	[ucd=stat.error]
#Column	E_Amp	(F8.5)	[7e-5/1.5] Upper uncertainty on Amp	[ucd=stat.error;stat.max]
#Column	FWHMdt	(F8.5)	[0.0001/0.08] Full-width at half-maximum, flare duration	[ucd=time.interval]
#Column	e_FWHMdt	(F8.5)	[2e-05/0.05] Lower uncertainty on FWHMdt	[ucd=stat.error]
#Column	E_FWHMdt	(F8.5)	[2e-05/0.08] Upper uncertainty on FWHMdt	[ucd=stat.error;stat.max]
#Column	Ebol	(E9.2)	[1e+30/9e+36]? Bolometric energy, flare; in erg units	[ucd=phys.energy]
#Column	e_Ebol	(E9.2)	[1e+30/2e+36]? Lower uncertainty on Ebol	[ucd=stat.error]
#Column	E_Ebol	(E9.2)	[1e+30/4e+36]? Upper uncertainty on Ebol	[ucd=stat.error;stat.max]
#Column	MCME	(E9.2)	[1e+18/3e+22]? Possible mass of a coronal mass ejection post flare	[ucd=phys.mass]
#Column	e_MCME	(E9.2)	[1e+18/3e+22]? Lower uncertainty on MCME	[ucd=stat.error]
#Column	E_MCME	(E9.2)	[1e+19/2e+24]? Upper uncertainty on MCME	[ucd=stat.error;stat.max]
#Column	Tmag	(F8.5)	[3/17] TESS magnitude, star	[ucd=phot.mag;em.opt]
#Column	Teff	(I5)	[2801/31000]? Stellar effective temperature [NULL integer written as an empty string]	[ucd=phys.temperature.effective]
#Column	Rad	(F9.6)	[0.1/46]? Stellar radius	[ucd=phys.size.radius]
#Column	logg	(F8.5)	[3.6/5.6]? Log, surface gravity	[ucd=phys.gravity]
#Column	SpT	(A6)	Spectral Type	[ucd=src.spType]
#Column	Prot-t	(F9.6)	[0.003/5]? Rotation period extracted, TESS	[ucd=time.period]
#Column	Prot-k	(F9.6)	[0.5/46]? Rotation period extracted, KELT	[ucd=time.period]
#Column	Prot	(F9.6)	[0.003/39]? Accepted rotational period	[ucd=time.period]
#Column	Chem	(I1)	[0/1] Trigger prebiotic chemistry code (1=yes; 122 occurrences)	[ucd=meta.code]
#Column	O3cons	(I1)	[0/1] Ozone depletion, conservative threshold code (1=yes; 340 occurrences)	[ucd=meta.code]
#Column	O3perm	(I1)	[0/1] Ozone depletion, permissive threshold code (1=yes; 1291 occurrences)	[ucd=meta.code]
TIC|Outbst|Flare|tpeak|e_tpeak|E_tpeak|Amp|e_Amp|E_Amp|FWHMdt|e_FWHMdt|E_FWHMdt|Ebol|e_Ebol|E_Ebol|MCME|e_MCME|E_MCME|Tmag|Teff|Rad|logg|SpT|Prot-t|Prot-k|Prot|Chem|O3cons|O3perm
 | | |d|d|d| | | |d|d|d|10-7J|10-7J|10-7J|g|g|g|mag|K|Rsun|[cm/s2]| |d|d|d| | |
---------|--|-|--------------|---------|---------|--------|--------|--------|--------|--------|--------|---------|---------|---------|---------|---------|---------|--------|-----|---------|--------|------|---------|---------|---------|-|-|-
  2760232| 1|1|2458357.381046| 0.000863| 0.000854| 0.01475| 0.00168| 0.00170| 0.01958| 0.00307| 0.00375|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232| 2|1|2458357.843604| 0.001059| 0.001026| 0.01389| 0.00162| 0.00175| 0.01612| 0.00338| 0.00394|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232| 3|1|2458359.790770| 0.000026| 0.000026| 0.28258| 0.00817| 0.00949| 0.00196| 0.00017| 0.00017|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232| 3|2|2458359.793415| 0.000195| 0.000195| 0.04634| 0.00589| 0.00598| 0.00610| 0.00063| 0.00062|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232| 3|3|2458359.816881| 0.001735| 0.001565| 0.01665| 0.00185| 0.00155| 0.05816| 0.00920| 0.00928|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232| 3|4|2458359.876649| 0.000255| 0.000404| 0.01459| 0.00396| 0.00433| 0.00265| 0.00096| 0.00233|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232| 5|1|2458360.659582| 0.000143| 0.000150| 0.03723| 0.00206| 0.00224| 0.00456| 0.00038| 0.00041|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232| 7|1|2458368.775507| 0.000065| 0.000055| 0.13041| 0.01312| 0.01632| 0.00156| 0.00033| 0.00033|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232| 7|2|2458368.781088| 0.000302| 0.000407| 0.06287| 0.01261| 0.00799| 0.00837| 0.00110| 0.00117|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232| 7|3|2458368.778128| 0.000087| 0.000106| 0.09619| 0.01158| 0.01259| 0.00212| 0.00061| 0.00131|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232| 7|4|2458368.809784| 0.000504| 0.000649| 0.01478| 0.00276| 0.00159| 0.00494| 0.00142| 0.00243|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232| 8|1|2458369.180702| 0.000183| 0.000156| 0.02540| 0.00383| 0.00542| 0.00179| 0.00047| 0.00049|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232| 9|1|2458372.546995| 0.000019| 0.000019| 0.42041| 0.00651| 0.00685| 0.00115| 0.00004| 0.00003|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232| 9|2|2458372.559783| 0.000399| 0.000415| 0.01953| 0.00143| 0.00146| 0.01499| 0.00199| 0.00252|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232|10|1|2458372.871245| 0.000092| 0.000071| 0.05882| 0.01621| 0.02484| 0.00092| 0.00035| 0.00058|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232|11|1|2458373.787754| 0.000077| 0.000074| 0.05056| 0.00496| 0.00606| 0.00174| 0.00031| 0.00032|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232|12|1|2458374.605507| 0.000033| 0.000033| 0.20087| 0.00323| 0.00335| 0.00350| 0.00010| 0.00010|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
  2760232|13|1|2458378.876405| 0.000149| 0.000131| 0.03382| 0.00441| 0.00579| 0.00159| 0.00036| 0.00037|         |         |         |         |         |         |11.12600|     | 0.225556| 5.02139|      | 0.399300|         | 0.399300|0|0|0
